vel, single_track, single_track_jerk, single_track_jerk_relax, single_track_jerk_pacejka, kinematic, braking
5, 2.98429, 3.12234, 3.01352, 2.11306, 1.2198, 0.375
10, 1.33641, 1.50616, 1.52695, 1.70275, 1.2198, 0.875
15, 1.15166, 1.32914, 1.27313, 1.54928, 1.2198, 1.375
20, 1.17948, 1.32631, 1.31049, 1.46222, 1.2198, 1.875
25, 1.21672, 1.33091, 1.32895, 1.41129, 1.2198, 2.375
30, 1.24951, 1.34434, 1.34362, 1.38122, 1.2198, 2.875
35, 1.27777, 1.37921, 1.36322, 1.36174, 1.2198, 3.375
40, 1.30259, 1.37771, 1.38082, 1.34738, 1.2198, 3.875
45, 1.33057, 1.39215, 1.39504, 1.33584, 1.2198, 4.375
50, 1.35831, 1.41433, 1.40643, 1.32596, 1.2198, 4.875
