vel, abe, lee, baffet, jan, kinematic, braking
5, 3.01352, 3.00944, 2.86151, 2.9235, 1.2198, 0.375
10, 1.52695, 1.4254, 1.36242, 1.40395, 1.2198, 0.875
15, 1.27313, 1.4857, 1.3862, 1.43201, 1.2198, 1.375
20, 1.31049, 1.51698, 1.42072, 1.46872, 1.2198, 1.875
25, 1.32895, 1.5404, 1.4499, 1.50165, 1.2198, 2.375
30, 1.34362, 1.56512, 1.475, 1.53042, 1.2198, 2.875
35, 1.36322, 1.58975, 1.50431, 1.56064, 1.2198, 3.375
40, 1.38082, 1.60819, 1.52927, 1.58701, 1.2198, 3.875
45, 1.39504, 1.63027, 1.55638, 1.62029, 1.2198, 4.375
50, 1.40643, 1.65126, 1.5805, 1.64699, 1.2198, 4.875
